model,difficulty,solo_mean,best_multi,best_multi_name,multi_avg,solo_advantage,solo_vs_multi_avg,solo_is_best
Grok,easy,4.8,4.2,swm3,3.5,0.6,1.3,True
Grok,medium,3.0,2.8,swm3,2.4,0.2,0.6,True
Grok,hard,2.6,2.6,swm3,2.25,0.0,0.35,True
GPT-4o-mini,easy,4.79,4.73,swm3,4.33,0.05,0.45,True
GPT-4o-mini,medium,3.67,3.27,refl2,3.13,0.4,0.53,True
GPT-4o-mini,hard,3.0,2.93,swm3,2.92,0.07,0.08,True
Haiku,easy,4.73,4.67,refl2,4.24,0.07,0.5,True
Haiku,medium,3.27,3.93,refl2,3.68,-0.67,-0.42,False
Haiku,hard,3.67,3.47,sel3,3.22,0.2,0.45,True
Gemini,easy,4.8,4.6,refl2,3.75,0.2,1.05,True
Gemini,medium,3.4,3.6,refl2,3.3,-0.2,0.1,False
Gemini,hard,3.0,3.4,refl2,3.1,-0.4,-0.1,False
GPT-5.4,easy,5.0,5.0,refl2,4.75,0.0,0.25,True
GPT-5.4,medium,3.6,4.6,refl2,3.65,-1.0,-0.05,False
GPT-5.4,hard,3.0,3.8,refl2,3.25,-0.8,-0.25,False
