pattern,category,task_id,agent_turns,comparisons,converged,converged_at,final_similarity,max_similarity,mean_similarity,trend
rr3,A,sci_01,3,2,False,,0.07676823288543261,0.09632358505493296,0.08654590897018279,-0.019555352169500356
rr3,A,sci_02,3,2,False,,0.08689839572192513,0.08689839572192513,0.07238847822078266,0.02901983500228495
rr3,A,sci_03,6,5,False,,0.10869565217391304,0.1421194447766654,0.1040501635118448,-0.03342379260275237
rr3,A,cs_01,3,2,False,,0.08043937969924811,0.08043937969924811,0.05069193016692469,0.05949489906464683
rr3,A,cs_02,6,5,False,,0.07879731206130176,0.18518066902410274,0.10419955651853892,-0.008682812016585786
rr3,A,cs_03,3,2,False,,0.07918313621344532,0.07918313621344532,0.04378821079257398,0.07078985084174268
rr3,A,hist_01,3,2,False,,0.07213930348258707,0.07213930348258707,0.03691999187734796,0.07043862321047822
rr3,A,hist_02,3,2,False,,0.06021184697655286,0.06021184697655286,0.03360732404850052,0.05320904585610468
rr3,A,hist_03,3,2,False,,0.0802300258608956,0.0802300258608956,0.04122366038055866,0.07801273096067388
rr3,A,phil_01,3,2,False,,0.0804953560371517,0.1345062132112492,0.10750078462420046,-0.054010857174097496
rr3,A,phil_02,3,2,False,,0.09082670758972868,0.1546057127237939,0.12271621015676129,-0.06377900513406522
rr3,A,phil_03,3,2,False,,0.07319889031156637,0.07319889031156637,0.040283655682098976,0.06583046925893479
rr3,A,law_01,3,2,False,,0.06479086648578174,0.08733295689817429,0.07606191169197801,-0.02254209041239255
rr3,A,law_02,3,2,False,,0.06543075860318893,0.06543075860318893,0.04150882647156933,0.04784386426323921
rr3,A,law_03,6,5,False,,0.08297246912272238,0.12002292471042471,0.08540772205545658,0.05912108262094769
rr3,A,game_01,3,2,False,,0.0600403712887024,0.0600403712887024,0.038746412453672927,0.04258791767005894
rr3,A,game_02,6,5,False,,0.07480314960629922,0.07480314960629922,0.05536065480656008,0.04746066608744047
rr3,A,game_03,3,2,False,,0.07453217568947905,0.07453217568947905,0.04946120979595904,0.050141931787040024
rr3,A,eng_01,3,2,False,,0.0796978087077986,0.2192060001570722,0.1494519044324354,-0.1395081914492736
rr3,A,eng_02,3,2,False,,0.12638714299230905,0.12638714299230905,0.11397295515597297,0.024828375672672168
rr3,A,eng_03,3,2,False,,0.018973214285714284,0.018973214285714284,0.018724482431540745,0.000497463708347079
rr3,A,biz_01,6,5,False,,0.06831683168316832,0.09561810957524204,0.0699713078077897,-0.016219646123369888
rr3,A,biz_02,3,2,False,,0.05196629213483146,0.14736849159914484,0.09966739186698814,-0.09540219946431337
rr3,A,biz_03,3,2,False,,0.08200455580865604,0.08200455580865604,0.04444714480131256,0.07511482201468696
rr3,A,med_01,3,2,False,,0.0724292419286019,0.0724292419286019,0.044025034849481184,0.056808414158241415
sel3,B1,sci_01,3,2,False,,0.10191931889394427,0.10191931889394427,0.05684971180299308,0.09013921418190239
sel3,B1,sci_02,3,2,False,,0.12005769342593271,0.12005769342593271,0.0671547374493084,0.10580591195324862
sel3,B1,sci_03,3,2,False,,0.07348724200693704,0.07348724200693704,0.04259468483325576,0.06178511434736257
sel3,B1,cs_01,3,2,False,,0.12105786297479589,0.12105786297479589,0.07030091845808198,0.10151388903342781
sel3,B1,cs_02,2,1,False,,0.08549715909090909,0.08549715909090909,0.08549715909090909,0
sel3,B1,cs_03,3,2,False,,0.13469428119349006,0.13469428119349006,0.07362854763192091,0.1221314671231383
sel3,B1,hist_01,2,1,False,,0.0,0.0,0.0,0
sel3,B1,hist_02,2,1,False,,0.0,0.0,0.0,0
sel3,B1,hist_03,3,2,False,,0.07159353348729793,0.07159353348729793,0.03861843717254287,0.06595019262951012
sel3,B1,phil_01,3,2,False,,0.08716822429906541,0.08716822429906541,0.04651379964953271,0.08130884929906541
sel3,B1,phil_02,2,1,False,,0.004189944134078212,0.004189944134078212,0.004189944134078212,0
sel3,B1,phil_03,2,1,False,,0.008706467661691543,0.008706467661691543,0.008706467661691543,0
sel3,B1,law_01,3,2,False,,0.0724021592442645,0.0724021592442645,0.03684046581139056,0.07112338686574789
sel3,B1,law_02,3,2,False,,0.08376281717456498,0.08376281717456498,0.055501011109431106,0.05652361213026774
sel3,B1,law_03,3,2,False,,0.11219679346266667,0.11219679346266667,0.06940671559348499,0.08558015573836336
sel3,B1,game_01,3,2,False,,0.09737245309391969,0.09737245309391969,0.057991437465073986,0.0787620312576914
sel3,B1,game_02,3,2,False,,0.04447852760736196,0.04447852760736196,0.030533102666240222,0.02789084988224348
sel3,B1,game_03,3,2,False,,0.09563197234629975,0.09563197234629975,0.053928455610802686,0.08340703347099412
sel3,B1,eng_01,3,2,False,,0.09077451757864129,0.09077451757864129,0.0676160202563535,0.04631699464457556
sel3,B1,eng_02,3,2,False,,0.11974348047234785,0.11974348047234785,0.0757023509184774,0.0880822591077409
sel3,B1,eng_03,3,2,False,,0.11723712990968174,0.11723712990968174,0.0745396952332934,0.0853948693527767
sel3,B1,biz_01,2,1,False,,0.02252252252252252,0.02252252252252252,0.02252252252252252,0
sel3,B1,biz_02,2,1,False,,0.01947843569371146,0.01947843569371146,0.01947843569371146,0
sel3,B1,biz_03,2,1,False,,0.08974658519051042,0.08974658519051042,0.08974658519051042,0
sel3,B1,med_01,3,2,False,,0.11518975681650699,0.11518975681650699,0.06269691922458002,0.10498567518385393
sel4,B1,sci_01,3,2,False,,0.09254471019176902,0.09254471019176902,0.04982349145952087,0.0854424374644963
sel4,B1,sci_02,2,1,False,,0.01707317073170732,0.01707317073170732,0.01707317073170732,0
sel4,B1,sci_03,3,2,False,,0.11044970889379643,0.11723573765827286,0.11384272327603465,-0.006786028764476426
sel4,B1,cs_01,3,2,False,,0.1457447680230748,0.1457447680230748,0.08313631363030573,0.12521690878553812
sel4,B1,cs_02,3,2,False,,0.02546916890080429,0.028722836510398427,0.027096002705601356,-0.0032536676095941373
sel4,B1,cs_03,4,3,False,,0.14025830526865998,0.14025830526865998,0.07556176195221315,0.13236356842655472
sel4,B1,hist_01,3,2,False,,0.0784313725490196,0.0784313725490196,0.07323601377309817,0.01039071755184287
sel4,B1,hist_02,2,1,False,,0.006309148264984227,0.006309148264984227,0.006309148264984227,0
sel4,B1,hist_03,3,2,False,,0.08343881044896703,0.08343881044896703,0.042190215017327205,0.08249719086327965
sel4,B1,phil_01,2,1,False,,0.005868544600938967,0.005868544600938967,0.005868544600938967,0
sel4,B1,phil_02,2,1,False,,0.0036855036855036856,0.0036855036855036856,0.0036855036855036856,0
sel4,B1,phil_03,2,1,False,,0.00641025641025641,0.00641025641025641,0.00641025641025641,0
sel4,B1,law_01,4,3,False,,0.08558270360444258,0.08558270360444258,0.05318625877462897,0.07570919498756233
sel4,B1,law_02,4,3,False,,0.09962460779919319,0.09962460779919319,0.06921870636085511,0.08659735894209844
sel4,B1,law_03,4,3,False,,0.11221243269701418,0.11221243269701418,0.07471790186551838,0.09555591722979187
