experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp05_baseline,fact_01,rr3,0,A,3,Text 'TERMINATE' mentioned,55.03,3193,2959,6152,4,3,keyword,,,
exp05_baseline,fact_02,rr3,0,A,3,Text 'TERMINATE' mentioned,49.03,2310,2398,4708,4,3,keyword,,,
exp05_baseline,fact_03,rr3,0,A,3,Text 'TERMINATE' mentioned,51.39,4111,3127,7238,4,3,keyword,,,
exp05_baseline,fact_04,rr3,0,A,3,Text 'TERMINATE' mentioned,105.34,5758,6528,12286,7,6,keyword,,,
exp05_baseline,fact_05,rr3,0,A,3,Text 'TERMINATE' mentioned,58.8,5687,4312,9999,4,3,keyword,,,
exp05_baseline,crea_01,rr3,0,A,3,Text 'TERMINATE' mentioned,64.03,5246,3551,8797,4,3,keyword,,,
exp05_baseline,crea_02,rr3,0,A,3,Text 'TERMINATE' mentioned,45.88,2138,1784,3922,4,3,keyword,,,
exp05_baseline,crea_03,rr3,0,A,3,Text 'TERMINATE' mentioned,81.2,2231,5784,8015,4,3,keyword,,,
exp05_baseline,crea_04,rr3,0,A,3,,168.85,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,crea_05,rr3,0,A,3,,80.11,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,anal_01,rr3,0,A,3,,80.82,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,anal_02,rr3,0,A,3,,77.78,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,anal_03,rr3,0,A,3,,77.35,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,anal_04,rr3,0,A,3,,78.43,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,anal_05,rr3,0,A,3,,77.9,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
exp05_baseline,tech_01,rr3,0,A,3,,78.93,0,0,0,0,0,,"RuntimeError: RuntimeError: Claude CLI failed: Unknown error
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\packages\autogen-agentchat\src\autogen_agentchat\teams\_group_chat\_chat_agent_container.py"", line 133, in handle_request
    async for msg in self._agent.on_messages_stream(self._message_buffer, ctx.cancellation_token):
    ...<4 lines>...
            await self._log_message(msg)

  File ""D:\Data\22_AG\autogen_a2a_kit\autogen_source\python\pac",,
